Tm,Bat,HR,RBI,OBP,SLG,OPS,OPS+,Pitch,W,L,W-L%,ERA
Arizona Diamondbacks,4.19,144,644,0.309,0.382,0.692,87,5.51,52,110,0.321,5.11
Atlanta Braves,4.91,239,762,0.319,0.435,0.754,95,4.07,88,73,0.547,3.88
Baltimore Orioles,4.07,195,632,0.304,0.402,0.705,91,5.9,52,110,0.321,5.84
Boston Red Sox,5.12,219,783,0.328,0.449,0.777,104,4.62,92,70,0.568,4.26
Chicago Cubs,4.35,210,672,0.312,0.407,0.719,92,5.18,71,91,0.438,4.87
Chicago White Sox,4.91,190,757,0.336,0.422,0.758,107,3.93,93,69,0.574,3.73
Cincinnati Reds,4.85,222,756,0.328,0.431,0.759,93,4.69,83,79,0.512,4.4
Cleveland Indians,4.43,203,686,0.303,0.407,0.71,93,4.49,80,82,0.494,4.34
Colorado Rockies,4.59,182,709,0.317,0.414,0.731,87,4.94,74,87,0.46,4.82
Detroit Tigers,4.3,179,675,0.308,0.399,0.707,96,4.67,77,85,0.475,4.32
Houston Astros,5.33,221,834,0.339,0.444,0.783,114,4.06,95,67,0.586,3.78
Kansas City Royals,4.23,163,647,0.306,0.396,0.702,90,4.86,74,88,0.457,4.64
Los Angeles Angels,4.46,190,691,0.31,0.407,0.717,94,4.96,77,85,0.475,4.69
Los Angeles Dodgers,5.12,237,799,0.33,0.429,0.759,101,3.46,106,56,0.654,3.01
Miami Marlins,3.85,158,594,0.298,0.372,0.671,81,4.33,67,95,0.414,3.96
Milwaukee Brewers,4.56,194,700,0.317,0.396,0.713,91,3.85,95,67,0.586,3.5
Minnesota Twins,4.5,228,690,0.314,0.423,0.738,104,5.15,73,89,0.451,4.83
New York Mets,3.93,176,604,0.315,0.391,0.705,93,4.12,77,85,0.475,3.9
New York Yankees,4.39,222,666,0.322,0.407,0.729,100,4.13,92,70,0.568,3.74
Oakland Athletics,4.59,199,698,0.317,0.406,0.723,102,4.24,86,76,0.531,4.02
Philadelphia Phillies,4.53,198,700,0.318,0.408,0.726,97,4.6,82,80,0.506,4.39
Pittsburgh Pirates,3.76,124,570,0.309,0.364,0.673,84,5.14,61,101,0.377,5.08
San Diego Padres,4.5,180,695,0.321,0.401,0.722,101,4.37,79,83,0.488,4.1
Seattle Mariners,4.3,199,673,0.303,0.385,0.688,91,4.62,90,72,0.556,4.3
San Francisco Giants,4.96,241,768,0.329,0.44,0.769,106,3.67,107,55,0.66,3.24
St. Louis Cardinals,4.36,198,678,0.313,0.412,0.725,99,4.15,90,72,0.556,3.98
Tampa Bay Rays,5.29,222,810,0.321,0.429,0.75,111,4.02,100,62,0.617,3.67
Texas Rangers,3.86,167,598,0.294,0.375,0.67,82,5.03,60,102,0.37,4.79
Toronto Blue Jays,5.22,262,816,0.33,0.466,0.797,113,4.09,91,71,0.562,3.91
Washington Nationals,4.47,182,686,0.337,0.417,0.754,108,5.06,65,97,0.401,4.8
